,price,address,type,area
335,6900000,455 West 20th Street #4W,Condo,2476
336,6900000,455 West 20th Street #4W,Condo,2476
337,995000,345 West 145th Street #14B23,Co-op,1500
338,10950000,157 W 57th Street #38F,Condo,2416
340,11900000,111 Central Park North #17ABC,Condo,5400
342,1750000,426 West Broadway #3A,Condo,1040
343,580000,64 East 111th Street #101,Co-op,776
344,2595000,416 W 52nd Street #512,Condo,1929
345,1920000,416 W 52nd Street #506,Condo,1386
347,2060000,111 Murray Street #12D,Condo,755
349,1050000,120 Riverside Boulevard #14J,Condo,798
350,2495000,225 West 17th Street #6B,Condo,1483
351,1575000,303 East 33rd Street #11C,Condo,1062
352,2750000,5 Beekman Street #23A,Condo,1625
353,11820000,15 Hudson Yards #69B,Condo,3058
354,7555000,15 Hudson Yards #66E,Condo,2502
355,5070000,15 Hudson Yards #34A,Condo,1778
356,900000,225 Rector Place #8C,Condo,687
357,1995000,555 West 23rd Street #S14F,Condo,1238
358,5655000,15 Hudson Yards #77D,Condo,1741
359,5875000,15 Hudson Yards #63D,Condo,2020
361,815000,457 Fdr Dr #A504,Co-op,1000
362,14750000,12 East 12th Street #10,Condo,5600
363,1575000,301 West 118th Street #6A,Condo,1337
364,4395000,30 Warren Street #6C,Condo,1915
365,4150000,200 East 21st Street #19A,Condo,1674
366,815000,457 Fdr Dr #A504,Co-op,1000
367,14750000,12 East 12th Street #10,Condo,5600
368,1575000,301 West 118th Street #6A,Condo,1337
370,3250000,160 East 22nd Street #11E,Condo,1540
371,4100000,404 Park Avenue South #12A,Condo,1695
376,2395000,220 West 148th Street #4D,Condo,2700
378,16450000,30 Park Place #PH77B,Condo,3173
379,750000,106 Central Park South #6C,Condo,500
380,3650000,404 East 76th Street #16AD,Condo,2475
381,888000,20 Pine Street #1417,Condo,888
382,1160000,450 West 17th Street #1606,Condo,531
384,1515000,514 West 110 #10A,Condo,1250
387,4975000,146 Chambers Street #PH,Condo,1926
388,1595000,460 West 42nd Street #52E,Condo,568
389,3280000,460 West 42nd Street #52K,Condo,1266
390,1625000,180 West 58th Street #5C,Co-op,1100
391,4995000,100 Barclay Street #11Q,Condo,2063
393,5915000,460 West 42nd Street #PH4C,Condo,2135
395,2950000,460 West 42nd Street #53B,Condo,1199
396,3790000,460 West 42nd Street #53C,Condo,1362
397,4682000,460 West 42nd Street #52B,Condo,1824
398,1710000,460 West 42nd Street #52L,Condo,701
399,2105000,460 West 42nd Street #52M,Condo,845
400,4975000,520 West 28th Street #8,Condo,1691
402,2465000,15 Broad Street #2520,Condo,1777
404,2650000,111 Central Park North 6C #6C,Condo,1422
405,1795000,2280 Frederick Douglass #9B,Condo,1404
407,1699000,525 East 80th Street #5BB,Condo,1450
409,10900000,1 CPS #1301,Condo,2656
410,535000,303 East 57th Street #19F,Co-op,1100
413,1498000,16 West 19th Street #6E,Condo,904
414,1700000,261 West 131st Street ,Multi-family,2499
416,9995000,443 Greenwich Street #3G,Condo,3022
420,615000,250 East 54th Street #16B,Condo,400
422,1350000,80 Riverside Boulevard #11D,Condo,717
424,17250000,184 East 64th Street ,Building,10560
425,4250000,845 United Nations Plaza #17B,Condo,1700
426,745000,315 West 70th Street #16L,Co-op,950
427,429000,529 East 88th Street #4D,Co-op,575
428,2695000,386 Columbus Avenue #7A,Condo,1304
429,3000000,151 West 21st Street #1B,Condo,1225
430,2650000,91 Leonard Street #5A,Condo,1483
431,2088800,120 Riverside Boulevard #9L,Condo,1300
432,1275000,77 Park Avenue #6H,Condo,850
433,7295000,49 Chambers Street #12AB,Condo,3574
434,550000,440 East 62nd Street #10G,Co-op,850
435,3880000,502 Park Avenue #8G,Condo,1572
437,4395000,30 Warren Street #6C,Condo,1915
438,5600000,30 Warren Street #7B,Condo,2209
440,2665000,30 Warren Street #2B,Condo,1265
442,5985000,152 Elizabeth Street #2E,Condo,2015
443,699000,2025 Broadway #24A,Co-op,735
444,5495000,200 East 66th Street #E1104,Condo,2588
445,709000,123 Washington Street #30C,Condo,394
447,790000,500 West End Avenue #4A,Condo,715
448,1425000,23 West 116th Street #8B,Condo,1107
449,1342500,875 West 181st Street #RSD,Co-op,1500
450,439000,4 Lexington Avenue #7L,Co-op,400
451,1370000,200 East 32nd Street #9E,Condo,988
452,5950000,168 East 93rd Street ,Townhouse,3628
453,1350000,225 East 57th Street #18F,Co-op,1250
454,2550000,305 East 85th Street #6B,Condo,1295
455,7350000,2 Park Place #33B,Condo,2548
456,2150000,1095 Park Avenue #14A,Co-op,1564
457,2599000,247 W 46th Street #4203,Condo,1308
458,445000,225 Bennett Avenue #2D,Co-op,725
460,3600000,471 West 140th Street ,Townhouse,5184
462,14500000,80 Columbus Circle #72,Condo,2413
463,950000,135 East 54th Street #16F,Condo,500
466,1100000,170 East 78th Street #10B,Co-op,970
467,2700000,222 Riverside Drive #4A,Condo,1664
468,5595000,22 Riverside Drive #12-13,Condo,2992
470,5400000,458 West 50th Street ,Townhouse,1000
471,1698000,99 John Street #1902,Condo,1153
472,3300000,322 West 57th Street #34S3,Condo,1600
475,7950000,111 Murray Street #35WEST,Condo,2280
480,649000,295 Greenwich Street #8J,Condo,432
